Event	ID	Name			Wwise Object Path	Notes
	282749073	Player_select			\Default Work Unit\Player_select	
	441302456	Hit_player			\Default Work Unit\Hit_player	
	745179803	Throw			\Default Work Unit\Throw	
	860858016	Play_fight			\Default Work Unit\Play_fight	
	928907744	Inicia_menu			\Default Work Unit\Inicia_menu	
	1098020724	Click_ui			\Default Work Unit\Click_ui	
	1373024549	Inicio_game			\Default Work Unit\Inicio_game	
	1420553778	Pasos_frog			\Default Work Unit\Pasos_frog	
	1870231131	Pasos_duck			\Default Work Unit\Pasos_duck	
	2162635622	Pick			\Default Work Unit\Pick	
	2959533290	Play_amb			\Default Work Unit\Play_amb	
	3049547158	Exit_game			\Default Work Unit\Exit_game	
	3424433926	Hover_ui			\Default Work Unit\Hover_ui	

State Group	ID	Name			Wwise Object Path	Notes
	4197210578	Estados			\Default Work Unit\Estados	

State	ID	Name	State Group			Notes
	675784008	Batalla	Estados			
	748895195	None	Estados			
	845003552	Fin_de_batalla	Estados			
	956887760	Creditos	Estados			
	2607556080	Menu	Estados			
	2658298240	Inicio	Estados			
	3092587489	Pausa	Estados			

Custom State	ID	Name	State Group	Owner		Notes
	109915412	Creditos	Estados	\Interactive Music Hierarchy\Default Work Unit\Pelea_granero		
	549956601	Inicio	Estados	\Interactive Music Hierarchy\Default Work Unit\Pelea_granero		
	799989351	Menu	Estados	\Interactive Music Hierarchy\Default Work Unit\Pelea_granero		
	831153207	Pausa	Estados	\Interactive Music Hierarchy\Default Work Unit\Pelea_granero		

Effect plug-ins	ID	Name	Type				Notes
	48620415	Have_U_Ever_Been_Outside	Wwise RoomVerb			
	903016108	Anibra_weapons	Wwise Compressor			
	2805769450	Special_Effect_1	Wwise Flanger			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	389662960	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Main\Amb_bosque\pajaros\New Sound SFX\Wwise Silence	
	615074324	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Main\Amb_bosque\Amb_random\New Sound SFX\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4694457	sfx_grab_1-001	C:\Users\Hogar\Desktop\Image Campus\aniBrawl\Proyecto\Anibrawl_proyect_sound\Anibrawl_proyect_sound-main\DVJ3-Proy_WwiseProject-v1\DVJ3-Proy_WwiseProject\.cache\Windows\SFX\sfx_grab_1-001_69CA1DD5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Pick\sfx_grab_1-001		123044
	14640781	Pasos_duck-003	C:\Users\Hogar\Desktop\Image Campus\aniBrawl\Proyecto\Anibrawl_proyect_sound\Anibrawl_proyect_sound-main\DVJ3-Proy_WwiseProject-v1\DVJ3-Proy_WwiseProject\.cache\Windows\SFX\Pasos_duck-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Pasos_duck\Pasos_duck-003		53696
	22228747	sfx_rama_3	C:\Users\Hogar\Desktop\Image Campus\aniBrawl\Proyecto\Anibrawl_proyect_sound\Anibrawl_proyect_sound-main\DVJ3-Proy_WwiseProject-v1\DVJ3-Proy_WwiseProject\.cache\Windows\SFX\sfx_rama_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\rama\sfx_rama_3		109256
	23080013	sfx_rastplastt_08	C:\Users\Hogar\Desktop\Image Campus\aniBrawl\Proyecto\Anibrawl_proyect_sound\Anibrawl_proyect_sound-main\DVJ3-Proy_WwiseProject-v1\DVJ3-Proy_WwiseProject\.cache\Windows\SFX\sfx_rastplastt_08_3FA78333.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\rast_plastico\sfx_rastplastt_08		79808
